"id","name","description","wbs","current_status","Resource","PlannedStartDate","PlannedEndDate","ActualStartDate","ActualEndDate","action","predecessor_successor","progress","assigned_to","proj_id","created_at","updated_at","ActualResource"
"438","Idenify all stakeholders for POC","Working on stakeholders for Item Hub","1.3.1.1.1.2",1,"","2009-06-29 08:00:00","2009-06-29 17:00:00","2009-06-29 08:00:00","2009-06-29 17:00:00","","",0,NULL,"5","2024-06-25 02:53:49.455211","2024-06-25 02:53:49.455211",NULL
"439","Item Setup POC","RISK given the delays since 6/17/09 for alignment with BIDS","1.3.1.1.1.2.1",1,"","2009-06-29 08:00:00","2009-06-29 17:00:00","2009-06-29 08:00:00","2009-06-29 17:00:00","","",0,NULL,"5","2024-06-25 02:53:49.538796","2024-06-25 02:53:49.538796",NULL
"440","Perfect Order OTS metric","","1.3.1.1.1.2.2",1,"","2009-06-29 08:00:00","2009-06-29 17:00:00","2009-06-29 08:00:00","2009-06-29 17:00:00","","",0,NULL,"5","2024-06-25 02:53:49.627533","2024-06-25 02:53:49.627533",NULL
"441","Communicate POC OTS scope, resource and support requirements to stakeholders","","1.3.1.1.1.3",1,"","2009-06-30 08:00:00","2009-07-01 17:00:00","2009-06-30 08:00:00","2009-07-01 17:00:00","","",0,NULL,"5","2024-06-25 02:53:49.711189","2024-06-25 02:53:49.711189",NULL
"442","Document data quality and governance requrements for POC - BRD (OTS and Item)","","1.3.1.1.1.4",1,"","2009-06-29 08:00:00","2009-07-08 17:00:00","2009-06-29 08:00:00","2009-07-08 17:00:00","","",0,NULL,"5","2024-06-25 02:53:49.79491","2024-06-25 02:53:49.79491",NULL
"443","Validate requirements with Biz and IT SMEs (OTS and Item)","","1.3.1.1.1.5",1,"","2009-07-09 08:00:00","2009-07-10 17:00:00","2009-07-09 08:00:00","2009-07-10 17:00:00","","",0,NULL,"5","2024-06-25 02:53:49.880777","2024-06-25 02:53:49.880777",NULL
"444","Identify resources, dependencies and mitigation plan","","1.3.1.1.1.6",1,"","2009-07-02 08:00:00","2009-07-07 17:00:00","2009-07-02 08:00:00","2009-07-07 17:00:00","","",0,NULL,"5","2024-06-25 02:53:49.967293","2024-06-25 02:53:49.967293",NULL
"445","Data collection plan","","1.3.1.1.2",1,"","2009-07-06 08:00:00","2009-07-15 17:00:00","2009-07-06 08:00:00","2009-07-15 17:00:00","","",0,NULL,"5","2024-06-25 02:53:50.050824","2024-06-25 02:53:50.050824",NULL
"446","Define data collection plan (append BRD)","","1.3.1.1.2.1",1,"","2009-07-06 08:00:00","2009-07-15 17:00:00","2009-07-06 08:00:00","2009-07-15 17:00:00","","",0,NULL,"5","2024-06-25 02:53:50.134996","2024-06-25 02:53:50.134996",NULL
"447","Test Plan","","1.3.1.1.3",1,"","2009-07-10 08:00:00","2009-07-17 17:00:00","2009-07-10 08:00:00","2009-07-17 17:00:00","","",0,NULL,"5","2024-06-25 02:53:50.30296","2024-06-25 02:53:50.30296",NULL
"448","Define test plan","","1.3.1.1.3.1",1,"","2009-07-16 08:00:00","2009-07-17 17:00:00","2009-07-16 08:00:00","2009-07-17 17:00:00","","",0,NULL,"5","2024-06-25 02:53:50.477169","2024-06-25 02:53:50.477169",NULL
"449","Allocate resources and obtain commitment from Managers","","1.3.1.1.3.2",1,"","2009-07-10 08:00:00","2009-07-13 12:00:00","2009-07-10 08:00:00","2009-07-13 12:00:00","","",0,NULL,"5","2024-06-25 02:53:50.562847","2024-06-25 02:53:50.562847",NULL
"450","BRD sign off","","1.3.1.1.3.3",1,"","2009-07-17 17:00:00","2009-07-17 17:00:00","2009-07-17 17:00:00","2009-07-17 17:00:00","","",0,NULL,"5","2024-06-25 02:53:50.775273","2024-06-25 02:53:50.775273",NULL
"451","Execute Data quality and data governance for defined scope","","1.3.1.1.4",1,"","2009-06-29 08:00:00","2009-08-10 12:00:00","2009-06-29 08:00:00","2009-08-10 12:00:00","","",0,NULL,"5","2024-06-25 02:53:50.977501","2024-06-25 02:53:50.977501",NULL
"452","Collect actual data per data collection plan","","1.3.1.1.4.1",1,"","2009-07-20 08:00:00","2009-07-24 17:00:00","2009-07-20 08:00:00","2009-07-24 17:00:00","","",0,NULL,"5","2024-06-25 02:53:51.072555","2024-06-25 02:53:51.072555",NULL
"453","POC: Using DataFlux execute data quality & governance requirements ","","1.3.1.1.4.2",1,"","2009-07-27 08:00:00","2009-07-29 12:00:00","2009-07-27 08:00:00","2009-07-29 12:00:00","","",0,NULL,"5","2024-06-25 02:53:51.278565","2024-06-25 02:53:51.278565",NULL
"454","Perfect Order POC","","1.3.1.1.4.2.1",1,"","2009-07-27 08:00:00","2009-07-29 12:00:00","2009-07-27 08:00:00","2009-07-29 12:00:00","","",0,NULL,"5","2024-06-25 02:53:51.481219","2024-06-25 02:53:51.481219",NULL
"455","Establish data quality scorecard","","1.3.1.1.4.3",1,"","2009-07-20 08:00:00","2009-07-31 12:00:00","2009-07-20 08:00:00","2009-07-31 12:00:00","","",0,NULL,"5","2024-06-25 02:53:51.567566","2024-06-25 02:53:51.567566",NULL
"456","Perfect Order POC","","1.3.1.1.4.3.1",1,"","2009-07-20 08:00:00","2009-07-21 17:00:00","2009-07-20 08:00:00","2009-07-21 17:00:00","","",0,NULL,"5","2024-06-25 02:53:51.774817","2024-06-25 02:53:51.774817",NULL
"457","Validate results with SMEs","","1.3.1.1.4.3.2",1,"","2009-07-29 13:00:00","2009-07-31 12:00:00","2009-07-29 13:00:00","2009-07-31 12:00:00","","",0,NULL,"5","2024-06-25 02:53:51.976917","2024-06-25 02:53:51.976917",NULL
"458","Perfect Order POC","","1.3.1.1.4.3.2.1",1,"","2009-07-29 13:00:00","2009-07-31 12:00:00","2009-07-29 13:00:00","2009-07-31 12:00:00","","",0,NULL,"5","2024-06-25 02:53:52.062645","2024-06-25 02:53:52.062645",NULL
"459","Validate proposed governance structure and RACI with results and actions","","1.3.1.1.4.4",1,"","2009-07-29 13:00:00","2009-07-31 12:00:00","2009-07-29 13:00:00","2009-07-31 12:00:00","","",0,NULL,"5","2024-06-25 02:53:52.271287","2024-06-25 02:53:52.271287",NULL
"460","Document results for Concept Commit","","1.3.1.1.4.5",1,"","2009-07-31 13:00:00","2009-08-03 12:00:00","2009-07-31 13:00:00","2009-08-03 12:00:00","","",0,NULL,"5","2024-06-25 02:53:52.477061","2024-06-25 02:53:52.477061",NULL
"461"," POC success measures","","1.3.1.1.4.6",1,"","2009-07-06 08:00:00","2009-07-21 17:00:00","2009-07-06 08:00:00","2009-07-21 17:00:00","","",0,NULL,"5","2024-06-25 02:53:52.562132","2024-06-25 02:53:52.562132",NULL
"462","Define POC success measures for PO and Item","","1.3.1.1.4.6.1",1,"","2009-07-06 08:00:00","2009-07-08 17:00:00","2009-07-06 08:00:00","2009-07-08 17:00:00","","",0,NULL,"5","2024-06-25 02:53:52.783113","2024-06-25 02:53:52.783113",NULL
"463","Validate POC success measures with sponsors","","1.3.1.1.4.6.2",1,"","2009-07-16 08:00:00","2009-07-21 17:00:00","2009-07-16 08:00:00","2009-07-21 17:00:00","","",0,NULL,"5","2024-06-25 02:53:52.976775","2024-06-25 02:53:52.976775",NULL
"464","Define Broader Launch Plan ","","1.3.1.1.4.7",1,"","2009-06-29 08:00:00","2009-07-17 17:00:00","2009-06-29 08:00:00","2009-07-17 17:00:00","","",0,NULL,"5","2024-06-25 02:53:53.068874","2024-06-25 02:53:53.068874",NULL
"465","Identify and analyze stakeholders for Program launch - Go Live","","1.3.1.1.4.7.1",1,"","2009-06-29 08:00:00","2009-07-01 17:00:00","2009-06-29 08:00:00","2009-07-01 17:00:00","","",0,NULL,"5","2024-06-25 02:53:53.274689","2024-06-25 02:53:53.274689",NULL
"466","Identify all resources required for Go-Live","","1.3.1.1.4.7.2",1,"","2009-07-13 08:00:00","2009-07-14 17:00:00","2009-07-13 08:00:00","2009-07-14 17:00:00","","",0,NULL,"5","2024-06-25 02:53:53.353479","2024-06-25 02:53:53.353479",NULL
"467","Create plan for certifiying 1 cross-functional BDO owned by CVCM - Target completion Q1FY10 (pending input)","","1.3.1.1.4.7.3",1,"","2009-07-06 08:00:00","2009-07-08 17:00:00","2009-07-06 08:00:00","2009-07-08 17:00:00","","",0,NULL,"5","2024-06-25 02:53:53.47872","2024-06-25 02:53:53.47872",NULL
"468","Identify resources required for certifications","","1.3.1.1.4.7.4",1,"","2009-07-06 08:00:00","2009-07-08 17:00:00","2009-07-06 08:00:00","2009-07-08 17:00:00","","",0,NULL,"5","2024-06-25 02:53:53.561406","2024-06-25 02:53:53.561406",NULL
"469","Validate DQIm and certification plan with BIDS and obtain sign off from BIDS and impacted stakeholders","","1.3.1.1.4.7.5",1,"","2009-07-13 08:00:00","2009-07-15 17:00:00","2009-07-13 08:00:00","2009-07-15 17:00:00","","",0,NULL,"5","2024-06-25 02:53:53.642026","2024-06-25 02:53:53.642026",NULL
"470","Define Go-Live roadmap (FY10)","","1.3.1.1.4.7.6",1,"","2009-07-13 08:00:00","2009-07-17 17:00:00","2009-07-13 08:00:00","2009-07-17 17:00:00","","",0,NULL,"5","2024-06-25 02:53:53.725715","2024-06-25 02:53:53.725715",NULL
"471","Collaborate with ODLE and define org adoption strategy","","1.3.1.1.4.7.7",1,"","2009-07-13 08:00:00","2009-07-16 17:00:00","2009-07-13 08:00:00","2009-07-16 17:00:00","","",0,NULL,"5","2024-06-25 02:53:53.808535","2024-06-25 02:53:53.808535",NULL
"472","Communication to stakeholders","","1.3.1.1.4.8",1,"","2009-08-03 13:00:00","2009-08-10 12:00:00","2009-08-03 13:00:00","2009-08-10 12:00:00","","",0,NULL,"5","2024-06-25 02:53:53.898291","2024-06-25 02:53:53.898291",NULL
"473","Communicate CC deliverables to stakeholders","","1.3.1.1.4.8.1",1,"","2009-08-03 13:00:00","2009-08-04 12:00:00","2009-08-03 13:00:00","2009-08-04 12:00:00","","",0,NULL,"5","2024-06-25 02:53:53.981658","2024-06-25 02:53:53.981658",NULL
"474","Resolve any stakeholder issues","","1.3.1.1.4.8.2",1,"","2009-08-04 13:00:00","2009-08-06 12:00:00","2009-08-04 13:00:00","2009-08-06 12:00:00","","",0,NULL,"5","2024-06-25 02:53:54.062033","2024-06-25 02:53:54.062033",NULL
"475","Complete Concept Commit slide deck","","1.3.1.1.4.8.3",1,"","2009-08-06 13:00:00","2009-08-10 12:00:00","2009-08-06 13:00:00","2009-08-10 12:00:00","","",0,NULL,"5","2024-06-25 02:53:54.141546","2024-06-25 02:53:54.141546",NULL
"476","CONCEPT COMMIT gate - Sign Off","","1.3.1.2",1,"","2009-08-10 12:00:00","2009-08-10 12:00:00","2009-08-10 12:00:00","2009-08-10 12:00:00","","",0,NULL,"5","2024-06-25 02:53:54.222251","2024-06-25 02:53:54.222251",NULL
"477","Communicate POC results and next steps (Launch Plan) to all stakeholders and CVCM functions","","1.3.1.3",1,"","2009-08-10 13:00:00","2009-08-13 12:00:00","2009-08-10 13:00:00","2009-08-13 12:00:00","","",0,NULL,"5","2024-06-25 02:53:54.30164","2024-06-25 02:53:54.30164",NULL
"478","EXECUTE COMMIT PHASE","","1.3.2",1,"","2009-08-03 08:00:00","2009-10-23 17:00:00","2009-08-03 08:00:00","2009-10-23 17:00:00","","",0,NULL,"5","2024-06-25 02:53:54.378316","2024-06-25 02:53:54.378316",NULL
"479","Using DQIm certify Org BDO","","1.3.2.1",1,"","2009-08-05 08:00:00","2009-09-15 17:00:00","2009-08-05 08:00:00","2009-09-15 17:00:00","","",0,NULL,"5","2024-06-25 02:53:54.458275","2024-06-25 02:53:54.458275",NULL
"480","Launch Data Governance Program as per roadmap","","1.3.2.2",1,"","2009-08-03 08:00:00","2009-10-23 17:00:00","2009-08-03 08:00:00","2009-10-23 17:00:00","","",0,NULL,"5","2024-06-25 02:53:54.541695","2024-06-25 02:53:54.541695",NULL
"481","Create project charter","","1.1",1,"","2009-04-01 08:00:00","2009-05-19 17:00:00","2009-04-01 08:00:00","2009-05-19 17:00:00","","",0,NULL,"6","2024-06-26 11:50:54.617746","2024-06-26 11:50:54.617746",NULL
"482","Define VSE","","1.1.1",1,"","2009-04-01 08:00:00","2009-04-07 17:00:00","2009-04-01 08:00:00","2009-04-07 17:00:00","","",0,NULL,"6","2024-06-26 11:50:54.698354","2024-06-26 11:50:54.698354",NULL
"483","Define scope of CVCM data governance program (in scope, out of scope)","","1.1.2",1,"","2009-04-28 08:00:00","2009-04-28 17:00:00","2009-04-28 08:00:00","2009-04-28 17:00:00","","",0,NULL,"6","2024-06-26 11:50:54.774944","2024-06-26 11:50:54.774944",NULL
"484","Identify and document goals","","1.1.3",1,"","2009-04-22 08:00:00","2009-04-22 17:00:00","2009-04-22 08:00:00","2009-04-22 17:00:00","","",0,NULL,"6","2024-06-26 11:50:54.859804","2024-06-26 11:50:54.859804",NULL
"485","Define value proposition ","","1.1.4",1,"","2009-04-27 08:00:00","2009-04-30 17:00:00","2009-04-27 08:00:00","2009-04-30 17:00:00","","",0,NULL,"6","2024-06-26 11:50:54.951315","2024-06-26 11:50:54.951315",NULL
"486","Build business case","How do we justify this program","1.1.5",1,"","2009-04-28 08:00:00","2009-05-04 17:00:00","2009-04-28 08:00:00","2009-05-04 17:00:00","","",0,NULL,"6","2024-06-26 11:50:55.03452","2024-06-26 11:50:55.03452",NULL
"487","Identify sponsors","","1.1.6",1,"","2009-04-21 08:00:00","2009-04-21 17:00:00","2009-04-21 08:00:00","2009-04-21 17:00:00","","",0,NULL,"6","2024-06-26 11:50:55.118663","2024-06-26 11:50:55.118663",NULL
"488","Select team","","1.1.7",1,"","2009-04-13 08:00:00","2009-04-15 17:00:00","2009-04-13 08:00:00","2009-04-15 17:00:00","","",0,NULL,"6","2024-06-26 11:50:55.210752","2024-06-26 11:50:55.210752",NULL
"489","Identify team members","","1.1.7.1",1,"","2009-04-13 08:00:00","2009-04-14 17:00:00","2009-04-13 08:00:00","2009-04-14 17:00:00","","",0,NULL,"6","2024-06-26 11:50:55.297044","2024-06-26 11:50:55.297044",NULL
"490","Determine roles & responsibilities for team","","1.1.7.2",1,"","2009-04-15 08:00:00","2009-04-15 17:00:00","2009-04-15 08:00:00","2009-04-15 17:00:00","","",0,NULL,"6","2024-06-26 11:50:55.378791","2024-06-26 11:50:55.378791",NULL
"491","Stakeholder analysis","","1.1.8",1,"","2009-04-21 08:00:00","2009-04-23 17:00:00","2009-04-21 08:00:00","2009-04-23 17:00:00","","",0,NULL,"6","2024-06-26 11:50:55.47067","2024-06-26 11:50:55.47067",NULL
"492","Identify stakeholders","","1.1.8.1",1,"","2009-04-21 08:00:00","2009-04-23 17:00:00","2009-04-21 08:00:00","2009-04-23 17:00:00","","",0,NULL,"6","2024-06-26 11:50:55.555027","2024-06-26 11:50:55.555027",NULL
"493","Analyze the influence and impact of the stakeholders to the program design and execution","","1.1.8.2",1,"","2009-04-21 08:00:00","2009-04-23 17:00:00","2009-04-21 08:00:00","2009-04-23 17:00:00","","",0,NULL,"6","2024-06-26 11:50:55.638993","2024-06-26 11:50:55.638993",NULL
"494","Overall program deliverables","","1.1.9",1,"","2009-04-27 08:00:00","2009-04-29 17:00:00","2009-04-27 08:00:00","2009-04-29 17:00:00","","",0,NULL,"6","2024-06-26 11:50:55.726803","2024-06-26 11:50:55.726803",NULL
"495","Define the different components of data governance framework","","1.1.9.1",1,"","2009-04-27 08:00:00","2009-04-29 17:00:00","2009-04-27 08:00:00","2009-04-29 17:00:00","","",0,NULL,"6","2024-06-26 11:50:55.810863","2024-06-26 11:50:55.810863",NULL
"496","Define high level implementation steps","","1.1.9.1.1",1,"","2009-04-27 08:00:00","2009-04-29 17:00:00","2009-04-27 08:00:00","2009-04-29 17:00:00","","",0,NULL,"6","2024-06-26 11:50:55.890547","2024-06-26 11:50:55.890547",NULL
"497","Identify use case and POC opportunities ","","1.1.9.1.2",1,"","2009-04-27 08:00:00","2009-04-28 17:00:00","2009-04-27 08:00:00","2009-04-28 17:00:00","","",0,NULL,"6","2024-06-26 11:50:55.978633","2024-06-26 11:50:55.978633",NULL
"498","Funding","","1.1.10",1,"","2009-05-13 08:00:00","2009-05-15 17:00:00","2009-05-13 08:00:00","2009-05-15 17:00:00","","",0,NULL,"6","2024-06-26 11:50:56.062637","2024-06-26 11:50:56.062637",NULL
"499","Funding - order of magnitude of project cost, per CC, EC and post EC","","1.1.10.1",1,"","2009-05-13 08:00:00","2009-05-15 17:00:00","2009-05-13 08:00:00","2009-05-15 17:00:00","","",0,NULL,"6","2024-06-26 11:50:56.142712","2024-06-26 11:50:56.142712",NULL
"500","Resource requirements","","1.1.11",1,"","2009-05-13 08:00:00","2009-05-14 17:00:00","2009-05-13 08:00:00","2009-05-14 17:00:00","","",0,NULL,"6","2024-06-26 11:50:56.222546","2024-06-26 11:50:56.222546",NULL
"501","Identify resources required and roles for data governance program","","1.1.11.1",1,"","2009-05-13 08:00:00","2009-05-14 17:00:00","2009-05-13 08:00:00","2009-05-14 17:00:00","","",0,NULL,"6","2024-06-26 11:50:56.306513","2024-06-26 11:50:56.306513",NULL
"502","Constrains, assumptions and risks","","1.1.12",1,"","2009-05-18 08:00:00","2009-05-19 17:00:00","2009-05-18 08:00:00","2009-05-19 17:00:00","","",0,NULL,"6","2024-06-26 11:50:56.386788","2024-06-26 11:50:56.386788",NULL
"503","Identify project assumptions and risks","Risks and assumptions identified for BC","1.1.12.1",1,"","2009-05-18 08:00:00","2009-05-19 17:00:00","2009-05-18 08:00:00","2009-05-19 17:00:00","","",0,NULL,"6","2024-06-26 11:50:56.470547","2024-06-26 11:50:56.470547",NULL
"504","Program success factors","","1.1.13",1,"","2009-05-18 08:00:00","2009-05-19 17:00:00","2009-05-18 08:00:00","2009-05-19 17:00:00","","",0,NULL,"6","2024-06-26 11:50:56.550659","2024-06-26 11:50:56.550659",NULL
"505","Define program success factors ","Program Success factors need to be both short term and long term. Should include POC success factors in the CC phase","1.1.13.1",1,"","2009-05-18 08:00:00","2009-05-19 17:00:00","2009-05-18 08:00:00","2009-05-19 17:00:00","","",0,NULL,"6","2024-06-26 11:50:56.635088","2024-06-26 11:50:56.635088",NULL
"506","Communication Plan","","1.1.14",1,"","2009-05-13 08:00:00","2009-05-15 17:00:00","2009-05-13 08:00:00","2009-05-15 17:00:00","","",0,NULL,"6","2024-06-26 11:50:56.718564","2024-06-26 11:50:56.718564",NULL
"507","Stakeholder engagement plan","","1.1.14.1",1,"","2009-05-13 08:00:00","2009-05-15 17:00:00","2009-05-13 08:00:00","2009-05-15 17:00:00","","",0,NULL,"6","2024-06-26 11:50:56.802803","2024-06-26 11:50:56.802803",NULL
"508","Communication Plan","","1.1.14.2",1,"","2009-05-13 08:00:00","2009-05-15 17:00:00","2009-05-13 08:00:00","2009-05-15 17:00:00","","",0,NULL,"6","2024-06-26 11:50:56.882792","2024-06-26 11:50:56.882792",NULL
"509","Create program charter document","","1.1.15",1,"","2009-04-28 08:00:00","2009-04-30 17:00:00","2009-04-28 08:00:00","2009-04-30 17:00:00","","",0,NULL,"6","2024-06-26 11:50:56.970639","2024-06-26 11:50:56.970639",NULL
"510","Develop charter slides","","1.1.16",1,"","2009-04-29 08:00:00","2009-04-30 17:00:00","2009-04-29 08:00:00","2009-04-30 17:00:00","","",0,NULL,"6","2024-06-26 11:50:57.056398","2024-06-26 11:50:57.056398",NULL
"511","Sign off on initial project charter document","","1.1.17",1,"","2009-05-06 08:00:00","2009-05-06 08:00:00","2009-05-06 08:00:00","2009-05-06 08:00:00","","",0,NULL,"6","2024-06-26 11:50:57.138011","2024-06-26 11:50:57.138011",NULL
"512","BUSINESS COMMIT PHASE","","1.2",1,"","2009-04-14 08:00:00","2009-05-28 08:00:00","2009-04-14 08:00:00","2009-05-28 08:00:00","","",0,NULL,"6","2024-06-26 11:50:57.231031","2024-06-26 11:50:57.231031",NULL
"513","Design components of data governance framework","","1.2.1",1,"","2009-04-14 08:00:00","2009-05-28 08:00:00","2009-04-14 08:00:00","2009-05-28 08:00:00","","",0,NULL,"6","2024-06-26 11:50:57.31332","2024-06-26 11:50:57.31332",NULL
"514","Data quality framework","","1.2.1.1",1,"","2009-04-14 08:00:00","2009-05-25 17:00:00","2009-04-14 08:00:00","2009-05-25 17:00:00","","",0,NULL,"6","2024-06-26 11:50:57.402941","2024-06-26 11:50:57.402941",NULL
"515","DEFINE data quality steps and processes","","1.2.1.1.1",1,"","2009-04-14 08:00:00","2009-04-17 17:00:00","2009-04-14 08:00:00","2009-04-17 17:00:00","","",0,NULL,"6","2024-06-26 11:50:57.481728","2024-06-26 11:50:57.481728",NULL
"516","Identify and define data quality standards","","1.2.1.1.2",1,"","2009-04-20 08:00:00","2009-04-21 17:00:00","2009-04-20 08:00:00","2009-04-21 17:00:00","","",0,NULL,"6","2024-06-26 11:50:57.561937","2024-06-26 11:50:57.561937",NULL
"517","Define execution steps and roles for data quality framework","","1.2.1.1.3",1,"","2009-05-01 08:00:00","2009-05-07 17:00:00","2009-05-01 08:00:00","2009-05-07 17:00:00","","",0,NULL,"6","2024-06-26 11:50:57.645459","2024-06-26 11:50:57.645459",NULL
"518","Define alignment scope with DQIm processes","","1.2.1.1.4",1,"","2009-04-29 08:00:00","2009-05-01 17:00:00","2009-04-29 08:00:00","2009-05-01 17:00:00","","",0,NULL,"6","2024-06-26 11:50:57.729608","2024-06-26 11:50:57.729608",NULL
"519","Identify use case for data quality framework - Scope for use case","","1.2.1.1.5",1,"","2009-05-12 08:00:00","2009-05-14 17:00:00","2009-05-12 08:00:00","2009-05-14 17:00:00","","",0,NULL,"6","2024-06-26 11:50:57.80966","2024-06-26 11:50:57.80966",NULL
"520","Collect information/processes/data for the use case (preliminary)","","1.2.1.1.6",1,"","2009-05-12 08:00:00","2009-05-18 17:00:00","2009-05-12 08:00:00","2009-05-18 17:00:00","","",0,NULL,"6","2024-06-26 11:50:57.889688","2024-06-26 11:50:57.889688",NULL
"521","Define requirements for use case","","1.2.1.1.7",1,"","2009-05-13 08:00:00","2009-05-15 17:00:00","2009-05-13 08:00:00","2009-05-15 17:00:00","","",0,NULL,"6","2024-06-26 11:50:57.97365","2024-06-26 11:50:57.97365",NULL
"522","Analyze findings and design use case process steps","","1.2.1.1.8",1,"","2009-05-18 08:00:00","2009-05-20 17:00:00","2009-05-18 08:00:00","2009-05-20 17:00:00","","",0,NULL,"6","2024-06-26 11:50:58.050478","2024-06-26 11:50:58.050478",NULL
"523","Document analysis and resulting business case in BC preso","","1.2.1.1.9",1,"","2009-05-21 08:00:00","2009-05-25 17:00:00","2009-05-21 08:00:00","2009-05-25 17:00:00","","",0,NULL,"6","2024-06-26 11:50:58.135182","2024-06-26 11:50:58.135182",NULL
"524","MEASURE Data Quality","","1.2.1.2",1,"","2009-05-04 08:00:00","2009-05-14 17:00:00","2009-05-04 08:00:00","2009-05-14 17:00:00","","",0,NULL,"6","2024-06-26 11:50:58.222996","2024-06-26 11:50:58.222996",NULL
"525","Define data quality metrics for Scope","","1.2.1.2.1",1,"","2009-05-04 08:00:00","2009-05-14 17:00:00","2009-05-04 08:00:00","2009-05-14 17:00:00","","",0,NULL,"6","2024-06-26 11:50:58.303897","2024-06-26 11:50:58.303897",NULL
"526","Review data quality steps and standards for Perfect Order","","1.2.1.2.1.1",1,"","2009-05-04 08:00:00","2009-05-08 17:00:00","2009-05-04 08:00:00","2009-05-08 17:00:00","","",0,NULL,"6","2024-06-26 11:50:58.386618","2024-06-26 11:50:58.386618",NULL
"527","ANALYZE data quality metrics for perfect order","Due to constrains in availability of data, focused on end to end process for perfect order and quality/Governance opportunities","1.2.1.2.1.2",1,"","2009-05-11 08:00:00","2009-05-14 17:00:00","2009-05-11 08:00:00","2009-05-14 17:00:00","","",0,NULL,"6","2024-06-26 11:50:58.466612","2024-06-26 11:50:58.466612",NULL
"528","DESIGN data quality metrics for Perfect Order","","1.2.1.2.1.3",1,"","2009-05-11 08:00:00","2009-05-14 17:00:00","2009-05-11 08:00:00","2009-05-14 17:00:00","","",0,NULL,"6","2024-06-26 11:50:58.555095","2024-06-26 11:50:58.555095",NULL
"529","Data Governance cycle","","1.2.1.3",1,"","2009-05-13 08:00:00","2009-05-21 17:00:00","2009-05-13 08:00:00","2009-05-21 17:00:00","","",0,NULL,"6","2024-06-26 11:50:58.634748","2024-06-26 11:50:58.634748",NULL
"530","DESIGN Key data governance processes","","1.2.1.3.1",1,"","2009-05-13 08:00:00","2009-05-19 17:00:00","2009-05-13 08:00:00","2009-05-19 17:00:00","","",0,NULL,"6","2024-06-26 11:50:58.718927","2024-06-26 11:50:58.718927",NULL
"531","Define RACI for these processes","Require to validate RACI with sponsors","1.2.1.3.2",1,"","2009-05-20 08:00:00","2009-05-21 17:00:00","2009-05-20 08:00:00","2009-05-21 17:00:00","","",0,NULL,"6","2024-06-26 11:50:58.802398","2024-06-26 11:50:58.802398",NULL
"532","Definitions of key components","","1.2.1.4",1,"","2009-04-27 08:00:00","2009-05-19 17:00:00","2009-04-27 08:00:00","2009-05-19 17:00:00","","",0,NULL,"6","2024-06-26 11:50:58.882961","2024-06-26 11:50:58.882961",NULL
"533","Agreed upon definitions for key data roles - RACI for key data roles","","1.2.1.4.1",1,"","2009-04-27 08:00:00","2009-04-28 17:00:00","2009-04-27 08:00:00","2009-04-28 17:00:00","","",0,NULL,"6","2024-06-26 11:50:58.966474","2024-06-26 11:50:58.966474",NULL
"534","Definitions documented for data artifacts(BDO, metrics etc)","","1.2.1.4.2",1,"","2009-05-13 08:00:00","2009-05-14 17:00:00","2009-05-13 08:00:00","2009-05-14 17:00:00","","",0,NULL,"6","2024-06-26 11:50:59.054213","2024-06-26 11:50:59.054213",NULL
"535","Definitions stored in a standard format and location","","1.2.1.4.3",1,"","2009-05-15 08:00:00","2009-05-19 17:00:00","2009-05-15 08:00:00","2009-05-19 17:00:00","","",0,NULL,"6","2024-06-26 11:50:59.138024","2024-06-26 11:50:59.138024",NULL
"536","Data management office","","1.2.1.5",1,"","2009-04-16 08:00:00","2009-05-01 17:00:00","2009-04-16 08:00:00","2009-05-01 17:00:00","","",0,NULL,"6","2024-06-26 11:50:59.225476","2024-06-26 11:50:59.225476",NULL
"537","Defining structure for data management office","","1.2.1.5.1",1,"","2009-04-16 08:00:00","2009-04-24 17:00:00","2009-04-16 08:00:00","2009-04-24 17:00:00","","",0,NULL,"6","2024-06-26 11:50:59.313461","2024-06-26 11:50:59.313461",NULL
"538","VERIFY structure against data quality framework ","","1.2.1.5.2",1,"","2009-04-27 08:00:00","2009-05-01 17:00:00","2009-04-27 08:00:00","2009-05-01 17:00:00","","",0,NULL,"6","2024-06-26 11:50:59.394979","2024-06-26 11:50:59.394979",NULL
"539","Tools","","1.2.1.6",1,"","2009-05-01 08:00:00","2009-05-14 17:00:00","2009-05-01 08:00:00","2009-05-14 17:00:00","","",0,NULL,"6","2024-06-26 11:50:59.478636","2024-06-26 11:50:59.478636",NULL
"540","Identify tools for data quality (dataFlux)","","1.2.1.6.1",1,"","2009-05-01 08:00:00","2009-05-07 17:00:00","2009-05-01 08:00:00","2009-05-07 17:00:00","","",0,NULL,"6","2024-06-26 11:50:59.562548","2024-06-26 11:50:59.562548",NULL
"541","Prototype data quality use case","Moved this to Concept Commit","1.2.1.6.2",1,"","2009-05-08 08:00:00","2009-05-14 17:00:00","2009-05-08 08:00:00","2009-05-14 17:00:00","","",0,NULL,"6","2024-06-26 11:50:59.646649","2024-06-26 11:50:59.646649",NULL
"542","Data Policies and procedures","","1.2.1.7",1,"","2009-05-13 08:00:00","2009-05-26 17:00:00","2009-05-13 08:00:00","2009-05-26 17:00:00","","",0,NULL,"6","2024-06-26 11:50:59.730526","2024-06-26 11:50:59.730526",NULL
